go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0072522	purine-containing compound biosynthetic process	biological_process	5	920	242	34266	0.77	7.808e-01	9.224e-01		LOC120031336,LOC120033928,LOC120034662,LOC120051245,LOC120053338
GO:1902531	regulation of intracellular signal transduction	biological_process	18	920	783	34266	0.86	7.809e-01	9.224e-01		LOC120028326,LOC120028632,LOC120028901,LOC120031008,LOC120031035,LOC120031126,LOC120032389,LOC120032526,LOC120032913,LOC120034316,LOC120034600,LOC120036053,LOC120037504,LOC120041011,LOC120041392,LOC120042993,LOC120047732,arhgap44a
GO:0016758	hexosyltransferase activity	molecular_function	6	920	287	34266	0.78	7.852e-01	9.246e-01		LOC120031113,LOC120032297,LOC120037165,LOC120042352,LOC120047580,mfng
GO:0006874	intracellular calcium ion homeostasis	biological_process	3	920	154	34266	0.73	7.856e-01	9.246e-01		LOC120032125,LOC120051648,slc24a5
GO:0036464	cytoplasmic ribonucleoprotein granule	cellular_component	3	920	154	34266	0.73	7.856e-01	9.246e-01		LOC120032877,LOC120043430,LOC120044165
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	biological_process	5	920	244	34266	0.76	7.868e-01	9.246e-01		LOC120031336,LOC120032118,LOC120034275,LOC120039945,LOC120042369
GO:0007276	gamete generation	biological_process	3	920	155	34266	0.72	7.892e-01	9.246e-01		LOC120031673,LOC120042401,LOC120043638
GO:0009152	purine ribonucleotide biosynthetic process	biological_process	3	920	155	34266	0.72	7.892e-01	9.246e-01		LOC120031336,LOC120034662,LOC120053338
GO:0006470	protein dephosphorylation	biological_process	6	920	289	34266	0.77	7.906e-01	9.246e-01		LOC120029007,LOC120031456,LOC120031461,LOC120034927,LOC120039738,LOC120048714
GO:0022414	reproductive process	biological_process	6	920	289	34266	0.77	7.906e-01	9.246e-01		LOC120031076,LOC120031673,LOC120042401,LOC120043638,lhcgr,rad54b
GO:0006873	intracellular monoatomic ion homeostasis	biological_process	6	920	289	34266	0.77	7.906e-01	9.246e-01		LOC120032125,LOC120034039,LOC120036150,LOC120051648,slc24a5,slc39a13
GO:0030003	intracellular monoatomic cation homeostasis	biological_process	6	920	289	34266	0.77	7.906e-01	9.246e-01		LOC120032125,LOC120034039,LOC120036150,LOC120051648,slc24a5,slc39a13
GO:0044419	biological process involved in interspecies interaction between organisms	biological_process	7	920	333	34266	0.78	7.928e-01	9.246e-01		LOC120026096,LOC120039718,LOC120042734,LOC120044602,LOC120044603,LOC120047575,adam15
GO:0031406	carboxylic acid binding	molecular_function	3	920	156	34266	0.72	7.928e-01	9.246e-01		LOC120042862,LOC120048724,LOC120051445
GO:0141188	nucleic acid catabolic process	biological_process	3	920	156	34266	0.72	7.928e-01	9.246e-01		LOC120042479,LOC120043430,rnaset2l
GO:0070382	exocytic vesicle	cellular_component	4	920	202	34266	0.74	7.942e-01	9.250e-01		LOC120048677,LOC120056477,snap91a,syngr3a
GO:0001932	regulation of protein phosphorylation	biological_process	8	920	377	34266	0.79	7.957e-01	9.250e-01		LOC120023180,LOC120028326,LOC120030768,LOC120032526,LOC120034531,LOC120036154,LOC120039573,LOC120048363
GO:1901135	carbohydrate derivative metabolic process	biological_process	18	920	792	34266	0.85	7.961e-01	9.250e-01		LOC120018827,LOC120024793,LOC120028888,LOC120031336,LOC120032297,LOC120034662,LOC120034978,LOC120035316,LOC120035658,LOC120036192,LOC120037165,LOC120039718,LOC120044600,LOC120046375,LOC120047580,LOC120048719,LOC120048861,LOC120053338
GO:0055074	calcium ion homeostasis	biological_process	3	920	157	34266	0.71	7.964e-01	9.250e-01		LOC120032125,LOC120051648,slc24a5
GO:0055086	nucleobase-containing small molecule metabolic process	biological_process	13	920	588	34266	0.82	7.983e-01	9.250e-01		LOC120028888,LOC120031336,LOC120031389,LOC120033928,LOC120034662,LOC120034978,LOC120036192,LOC120037165,LOC120039945,LOC120046375,LOC120048719,LOC120051245,LOC120053338
GO:0042592	homeostatic process	biological_process	13	920	588	34266	0.82	7.983e-01	9.250e-01		LOC120018360,LOC120023189,LOC120024697,LOC120032125,LOC120034039,LOC120036150,LOC120038582,LOC120047625,LOC120051648,LOC120052142,slc24a5,slc39a13,tjp1a
GO:0030133	transport vesicle	cellular_component	6	920	292	34266	0.77	7.986e-01	9.250e-01		LOC120032511,LOC120048677,LOC120056477,LOC120056951,snap91a,syngr3a
GO:0070925	organelle assembly	biological_process	13	920	589	34266	0.82	8.002e-01	9.259e-01		LOC120018348,LOC120020490,LOC120022514,LOC120030986,LOC120039074,LOC120040457,LOC120042401,LOC120042781,LOC120043638,LOC120045821,LOC120047746,LOC120048678,LOC120051331
GO:0022402	cell cycle process	biological_process	13	920	591	34266	0.82	8.039e-01	9.289e-01		LOC120018348,LOC120026064,LOC120031076,LOC120031673,LOC120031999,LOC120036153,LOC120036343,LOC120036510,LOC120042781,LOC120043099,cntln,ndel1b,rad54b
GO:0005929	cilium	cellular_component	8	920	381	34266	0.78	8.049e-01	9.289e-01		LOC120024763,LOC120030986,LOC120032148,LOC120032733,LOC120042401,LOC120043638,LOC120047746,flr
GO:1903047	mitotic cell cycle process	biological_process	7	920	338	34266	0.77	8.050e-01	9.289e-01		LOC120031076,LOC120031999,LOC120036153,LOC120036343,LOC120036510,LOC120043099,ndel1b
GO:0140694	membraneless organelle assembly	biological_process	5	920	251	34266	0.74	8.066e-01	9.291e-01		LOC120018348,LOC120020490,LOC120022514,LOC120042781,LOC120048678
GO:0016853	isomerase activity	molecular_function	11	920	510	34266	0.8	8.087e-01	9.291e-01		LOC120023431,LOC120024699,LOC120031210,LOC120032877,LOC120033011,LOC120034064,LOC120036153,LOC120037336,LOC120038576,LOC120063956,psmc4
GO:0097447	dendritic tree	cellular_component	6	920	296	34266	0.75	8.088e-01	9.291e-01		LOC120034033,LOC120048723,LOC120056459,LOC120056868,apba2b,arhgap44a
