[M::mm_idx_gen::53.814*1.37] collected minimizers
[M::mm_idx_gen::56.622*2.92] sorted minimizers
[M::main::56.622*2.92] loaded/built the index for 24184 target sequence(s)
[M::mm_mapopt_update::59.004*2.84] mid_occ = 500
[M::worker_pipeline::21397.712*39.17] mapped 80192 sequences
[M::worker_pipeline::21800.633*39.18] mapped 79630 sequences
[M::worker_pipeline::21863.656*39.17] mapped 60547 sequences
[M::worker_pipeline::21924.388*39.17] mapped 62296 sequences
[M::worker_pipeline::21978.077*39.17] mapped 66384 sequences
[M::worker_pipeline::22054.442*39.17] mapped 68472 sequences
[M::worker_pipeline::22150.993*39.16] mapped 71613 sequences
[M::worker_pipeline::22247.498*39.16] mapped 74692 sequences
[M::worker_pipeline::22331.944*39.16] mapped 78320 sequences
[M::worker_pipeline::22431.793*39.16] mapped 83358 sequences
[M::worker_pipeline::22533.855*39.16] mapped 88677 sequences
[M::worker_pipeline::22667.912*39.16] mapped 94964 sequences
[M::worker_pipeline::22840.623*39.16] mapped 104816 sequences
[M::worker_pipeline::23156.508*39.17] mapped 92773 sequences
[M::worker_pipeline::23486.444*39.18] mapped 82945 sequences
[M::worker_pipeline::23726.193*39.19] mapped 71088 sequences
[M::worker_pipeline::23790.568*39.18] mapped 62782 sequences
[M::worker_pipeline::23846.088*39.18] mapped 65051 sequences
[M::worker_pipeline::23906.108*39.18] mapped 68301 sequences
[M::worker_pipeline::23998.157*39.18] mapped 71051 sequences
[M::worker_pipeline::24084.507*39.18] mapped 74706 sequences
[M::worker_pipeline::24172.301*39.18] mapped 77174 sequences
[M::worker_pipeline::24272.605*39.17] mapped 82338 sequences
[M::worker_pipeline::24370.342*39.18] mapped 87590 sequences
[M::worker_pipeline::24491.553*39.18] mapped 92105 sequences
[M::worker_pipeline::24634.376*39.18] mapped 101673 sequences
[M::worker_pipeline::24918.018*39.19] mapped 103131 sequences
[M::worker_pipeline::25196.518*39.19] mapped 81775 sequences
[M::worker_pipeline::25559.143*39.19] mapped 66000 sequences
[M::main] Version: 2.31-r1302
[M::main] CMD: /opt/anaconda/anaconda3/envs/liftoff_env/bin/minimap2 -t 40 -x map-hifi /home/shared/16TB_HDD_01/sr320/github/project-lake-trout/data/genome/pb-hifiasm-siscowet-assembly.fa /home/shared/16TB_HDD_01/sr320/github/project-lake-trout/data/pacbio-reads/fastq2/m84082_250614_081210_s3.hifi_reads.demux.bc2071--bc2071.fastq.gz /home/shared/16TB_HDD_01/sr320/github/project-lake-trout/data/pacbio-reads/fastq2/m84082_250614_081210_s3.hifi_reads.demux.bc2072--bc2072.fastq.gz /home/shared/16TB_HDD_01/sr320/github/project-lake-trout/data/pacbio-reads/fastq2/m84082_250614_101514_s4.hifi_reads.demux.bc2073--bc2073.fastq.gz /home/shared/16TB_HDD_01/sr320/github/project-lake-trout/data/pacbio-reads/fastq2/m84082_251001_025627_s2.hifi_reads.bc2096.fastq.gz
[M::main] Real time: 25559.791 sec; CPU: 1001755.908 sec; Peak RSS: 18.603 GB
