go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0016192	vesicle-mediated transport	biological_process	3	91	1274	34268	0.89	6.624e-01	6.983e-01		ap2b1,cracr2b,vps50
GO:0005739	mitochondrion	cellular_component	3	91	1277	34268	0.88	6.640e-01	6.983e-01		LOC120028089,LOC120054763,bco2a
GO:0048583	regulation of response to stimulus	biological_process	4	91	1733	34268	0.87	6.817e-01	7.123e-01		LOC120032530,LOC120034415,LOC120053194,iqsec3a
GO:0046907	intracellular transport	biological_process	3	91	1367	34268	0.83	7.087e-01	7.358e-01		LOC120056503,ap2b1,vps50
GO:0007186	G protein-coupled receptor signaling pathway	biological_process	3	91	1471	34268	0.77	7.546e-01	7.785e-01		LOC120056235,LOC120060868,LOC120062883
GO:0098796	membrane protein complex	cellular_component	3	91	1498	34268	0.75	7.656e-01	7.847e-01		LOC120020307,LOC120056503,ap2b1
GO:0010467	gene expression	biological_process	4	91	1957	34268	0.77	7.702e-01	7.847e-01		LOC120030386,LOC120038469,LOC120054763,LOC120065442
GO:0005829	cytosol	cellular_component	3	91	1640	34268	0.69	8.168e-01	8.270e-01		LOC120028089,LOC120040161,LOC120053718
GO:0007166	cell surface receptor signaling pathway	biological_process	3	91	1672	34268	0.68	8.270e-01	8.321e-01		LOC120040412,LOC120053194,unc5c
GO:0031090	organelle membrane	cellular_component	3	91	1726	34268	0.65	8.431e-01	8.431e-01		LOC120020198,LOC120034415,LOC120056503
